Adana; 15
YRP; 1.38; 0
ZP; 1.38; 0

Gaziantep; 14
AKP; 41.59; 7
CHP; 20.49; 3
YSP; 10.94; 2
IYIP; 10.44; 1
MHP; 8.49; 1
MP; 2.78; 0
BBP; 1.94; 0
YRP; 1.82; 0
ZP; 1.50; 0

Giresun; 4
AKP; 40.91; 2
CHP; 24.41; 1
IYIP; 18.04; 1
MHP; 5.13; 0
MP; 3.54; 0
BBP; 1.95; 0
YRP; 1.90; 0
ZP; 1.52; 0
TIP; 1.40; 0
YSP; 1.20; 0

Gumushane; 2
AKP; 46.24; 1
IYIP; 31.96; 1
MHP; 11.69; 0
ZP; 2.41; 0
BBP; 2.31; 0
YRP; 2.01; 0
MP; 1.68; 0
YSP; 1.10; 0
TIP; 0.60; 0

Hakkari; 3
YSP; 66.44; 3
AKP; 17.29; 0
CHP; 10.76; 0
MHP; 3.06; 0
BBP; 0.71; 0
YRP; 0.71; 0
MP; 0.62; 0
ZP; 0.42; 0

Hatay; 11
CHP; 31.75; 4
AKP; 25.70; 3
IYIP; 13.17; 2
MHP; 9.08; 1
YSP; 7.90; 1
MP; 5.32; 0
TIP; 2.61; 0
ZP; 1.67; 0
BBP; 1.52; 0
YRP; 1.28; 0

Igdir; 2
YSP; 42.32; 2
AKP; 17.99; 0
MHP; 17.22; 0
CHP; 9.98; 0
IYIP; 7.02; 0
ZP; 2.63; 0
BBP; 1.34; 0
YRP; 0.78; 0
MP; 0.71; 0

Isparta; 4
AKP; 36.27; 2
CHP; 25.23; 1
IYIP; 21.71; 1
MHP; 4.90; 0
MP; 3.50; 0
ZP; 1.85; 0
BBP; 1.84; 0
YRP; 1.71; 0
YSP; 1.69; 0
TIP; 1.32; 0

Istanbul I; 35
CHP; 32.10; 13
AKP; 29.67; 12
IYIP; 13.54; 5
YSP; 8.16; 3
MP; 5.12; 0
MHP; 4.87; 1
TIP; 2.50; 1
BBP; 1.50; 0
YRP; 1.49; 0
ZP; 1.07; 0

Istanbul II; 28
AKP; 33.52; 11
CHP; 29.04; 9
IYIP; 12.38; 4
YSP; 9.13; 3
MHP; 5.03; 1
MP; 4.41; 0
TIP; 2.21; 0
YRP; 1.62; 0
BBP; 1.61; 0
ZP; 1.04; 0

Istanbul III; 35
AKP; 30.88; 12
CHP; 29.62; 12
IYIP; 12.74; 5
YSP; 10.73; 4
MHP; 5.11; 2
MP; 4.51; 0
TIP; 2.30; 0
BBP; 1.52; 0
YRP; 1.50; 0
ZP; 1.09; 0

Izmir I; 14
CHP; 40.69; 7
AKP; 18.48; 3
IYIP; 16.02; 2
YSP; 11.71; 2
MP; 7.21; 0
MHP; 2.94; 0
BBP; 1.04; 0
YRP; 1.02; 0
ZP; 0.88; 0

Izmir II; 14
CHP; 40.90; 7
AKP; 18.30; 3
IYIP; 16.86; 3
MP; 7.32; 0
YSP; 6.90; 1
TIP; 3.44; 0
MHP; 3.22; 0
BBP; 1.06; 0
YRP; 1.02; 0
ZP; 0.99; 0

Kahramanmaras; 8
AKP; 47.95; 5
CHP; 16.52; 1
IYIP; 13.19; 1
MHP; 10.00; 1
YSP; 4.02; 0
BBP; 2.26; 0
YRP; 2.08; 0
MP; 2.02; 0
ZP; 1.96; 0

Karabuk; 3
AKP; 41.70; 2
CHP; 23.09; 1
IYIP; 16.55; 0
MHP; 7.19; 0
MP; 3.27; 0
BBP; 2.04; 0
YRP; 1.93; 0
