Adana; 15
MHP; 8.92; 1
CHP; 20.72; 3
IYIP; 11.02; 2
SP; 0.69; 0
YSP; 10.89; 2
DEVA; 1.65; 0
GP; 1.20; 0
TIP; 1.30; 0
MP; 1.40; 0
ZP; 0.95; 0
BBP; 0.60; 0
YRP; 2.64; 0
DP; 0.07; 0
HUDAPAR; 0.78; 0

Giresun; 4
AKP; 39.12; 2
MHP; 5.38; 0
CHP; 23.65; 1
IYIP; 18.79; 1
SP; 0.70; 0
YSP; 1.40; 0
DEVA; 1.72; 0
GP; 1.22; 0
TIP; 1.24; 0
MP; 1.79; 0
ZP; 0.96; 0
BBP; 0.60; 0
YRP; 2.75; 0
DP; 0.12; 0
HUDAPAR; 0.27; 0

Gumushane; 2
AKP; 37.42; 1
MHP; 12.41; 0
CHP; 19.22; 1
IYIP; 18.36; 0
SP; 1.09; 0
YSP; 1.23; 0
DEVA; 1.79; 0
GP; 1.30; 0
TIP; 0.54; 0
MP; 0.86; 0
ZP; 1.55; 0
BBP; 0.72; 0
YRP; 2.95; 0
DP; 0.08; 0
HUDAPAR; 0.25; 0

Hakkari; 3
AKP; 16.86; 0
MHP; 3.26; 0
CHP; 4.45; 0
IYIP; 2.14; 0
SP; 0.43; 0
YSP; 67.17; 3
DEVA; 0.63; 0
GP; 0.63; 0
TIP; 1.82; 0
MP; 0.32; 0
ZP; 0.27; 0
BBP; 0.22; 0
YRP; 1.03; 0
DP; 0.01; 0
HUDAPAR; 0.56; 0

Hatay; 11
AKP; 23.95; 3
MHP; 9.57; 1
CHP; 34.09; 5
IYIP; 11.07; 1
SP; 0.58; 0
YSP; 9.84; 1
DEVA; 1.23; 0
GP; 0.85; 0
TIP; 2.33; 0
MP; 2.70; 0
ZP; 1.06; 0
BBP; 0.47; 0
YRP; 1.86; 0
DP; 0.10; 0
HUDAPAR; 0.16; 0

Igdir; 2
AKP; 13.17; 0
MHP; 18.20; 0
CHP; 8.80; 0
IYIP; 9.34; 0
SP; 1.61; 0
YSP; 42.38; 2
DEVA; 0.65; 0
GP; 0.58; 0
TIP; 1.19; 0
MP; 0.36; 0
ZP; 1.68; 0
BBP; 0.42; 0
YRP; 1.14; 0
DP; 0.04; 0
HUDAPAR; 0.21; 0

Isparta; 4
AKP; 33.98; 2
MHP; 5.13; 0
CHP; 24.08; 1
IYIP; 23.50; 1
SP; 0.89; 0
YSP; 1.94; 0
DEVA; 1.54; 0
GP; 1.09; 0
TIP; 1.17; 0
MP; 1.77; 0
ZP; 1.17; 0
BBP; 0.57; 0
YRP; 2.47; 0
DP; 0.14; 0
HUDAPAR; 0.25; 0

Istanbul I; 35
AKP; 30.26; 12
MHP; 5.12; 2
CHP; 30.95; 13
IYIP; 11.64; 4
SP; 0.94; 0
YSP; 10.11; 4
DEVA; 1.39; 0
GP; 0.97; 0
TIP; 2.22; 0
MP; 2.59; 0
ZP; 0.68; 0
BBP; 0.46; 0
YRP; 2.16; 0
DP; 0.10; 0
HUDAPAR; 0.14; 0

Istanbul II; 28
AKP; 33.50; 12
MHP; 5.29; 1
CHP; 27.40; 9
IYIP; 11.03; 3
SP; 0.93; 0
YSP; 11.06; 3
DEVA; 1.49; 0
GP; 1.06; 0
TIP; 1.96; 0
MP; 2.23; 0
ZP; 0.66; 0
BBP; 0.50; 0
YRP; 2.34; 0
DP; 0.09; 0
HUDAPAR; 0.20; 0

Istanbul III; 35
AKP; 30.84; 13
MHP; 5.38; 2
CHP; 27.81; 11
IYIP; 11.58; 4
SP; 0.84; 0
YSP; 12.97; 5
DEVA; 1.39; 0
GP; 0.99; 0
TIP; 2.04; 0
MP; 2.28; 0
ZP; 0.69; 0
BBP; 0.47; 0
YRP; 2.17; 0
DP; 0.09; 0
HUDAPAR; 0.21; 0

Izmir I; 14
AKP; 20.77; 3
MHP; 3.09; 0
CHP; 40.01; 7
IYIP; 13.16; 2
SP; 0.53; 0
YSP; 10.95; 2
DEVA; 1.03; 0
GP; 0.69; 0
TIP; 3.07; 0
MP; 3.65; 0
ZP; 0.56; 0
BBP; 0.32; 0
YRP; 1.48; 0
DP; 0.14; 0
HUDAPAR; 0.15; 0

Izmir II; 14
AKP; 20.42; 4
MHP; 3.39; 0
CHP; 40.76; 7
IYIP; 14.10; 2
SP; 0.54; 0
YSP; 9.19; 1
DEVA; 1.03; 0
GP; 0.68; 0
TIP; 3.06; 0
MP; 3.71; 0
ZP; 0.63; 0
BBP; 0.33; 0
YRP; 1.48; 0
DP; 0.14; 0
HUDAPAR; 0.16; 0

Kahramanmaras; 8
AKP; 40.65; 4
MHP; 10.48; 1
CHP; 18.75; 2
IYIP; 15.32; 1
SP; 0.81; 0
YSP; 3.56; 0
DEVA; 1.85; 0
GP; 1.34; 0
TIP; 0.75; 0
MP; 1.02; 0
ZP; 1.24; 0
BBP; 0.70; 0
YRP; 3.00; 0
DP; 0.07; 0
HUDAPAR; 0.25; 0

Karabuk; 3
AKP; 37.98; 2
MHP; 7.53; 0
CHP; 23.88; 1
IYIP; 17.35; 0
SP; 0.95; 0
YSP; 1.35; 0
DEVA; 1.73; 0
GP; 1.23; 0
TIP; 1.17; 0
MP; 1.65; 0
ZP; 1.10; 0
BBP; 0.63; 0
YRP; 2.78; 0
DP; 0.10; 0
HUDAPAR; 0.20; 0

Karaman; 3
AKP; 37.07; 2
MHP; 8.58; 0
CHP; 24.06; 1
IYIP; 17.06; 0
SP; 0.87; 0
YSP; 1.44; 0
DEVA; 1.72; 0
GP; 1.22; 0
TIP; 1.14; 0
MP; 1.60; 0
ZP; 1.18; 0
BBP; 0.64; 0
YRP; 2.76; 0
DP; 0.10; 0
HUDAPAR; 0.22; 0

Kars; 3
AKP; 29.44; 1
MHP; 4.98; 0
CHP; 16.93; 1
IYIP; 9.86; 0
SP; 0.46; 0
YSP; 29.52; 1
DEVA; 1.23; 0
GP; 0.94; 0
TIP; 1.70; 0
MP; 1.35; 0
ZP; 0.60; 0
BBP; 0.42; 0
YRP; 1.93; 0
DP; 0.07; 0
HUDAPAR; 0.28; 0

Kastamonu; 3
AKP; 33.55; 2
MHP; 12.71; 0
CHP; 25.17; 1
IYIP; 15.92; 0
SP; 0.53; 0
YSP; 1.03; 0
DEVA; 1.67; 0
GP; 1.19; 0
TIP; 1.08; 0
MP; 1.50; 0
ZP; 1.48; 0
BBP; 0.67; 0
YRP; 2.66; 0
DP; 0.08; 0
HUDAPAR; 0.28; 0

Kayseri; 10
AKP; 32.21; 4
MHP; 12.84; 1
CHP; 23.38; 3
IYIP; 18.05; 2
SP; 1.01; 0
YSP; 2.19; 0
DEVA; 1.61; 0
GP; 1.16; 0
TIP; 0.89; 0
MP; 1.27; 0
ZP; 1.60; 0
BBP; 0.67; 0
YRP; 2.62; 0
DP; 0.09; 0
HUDAPAR; 0.16; 0

Kirikkale; 3
